Regions,California,,
Brands,,,
Segments,"Auto Intenders > Buick,Auto Intenders > Cadillac,Auto Intenders > Chevrolet,Auto Intenders > Chrysler,Auto Intenders > Dodge,Auto Intenders > Ford,Auto Intenders > GMC,Auto Intenders > Jeep,Auto Intenders > Lincoln,Auto Intenders > Tesla",,
,,,
Type,Name,Index,Business Category
Audience Profile,Weekday prime access,438,Comscore
Audience Profile,Sports,438,Comscore
Audience Profile,Reality,434,Comscore
Audience Profile,Movies,434,Comscore
Audience Profile,Weekday late fringe,434,Comscore
Audience Profile,Kids,434,Comscore
Audience Profile,Animation,434,Comscore
Audience Profile,Weekend late fringe,433,Comscore
Audience Profile,Weekday overnight,432,Comscore
Audience Profile,Weekday Prime,432,Comscore
Audience Profile,Drama,431,Comscore
Audience Profile,Weekend prime,431,Comscore
Audience Profile,Weekday daytime,431,Comscore
Audience Profile,Comedy,431,Comscore
Audience Profile,Weekend prime access,430,Comscore
Audience Profile,Variety,430,Comscore
Audience Profile,Weekday early fringe,430,Comscore
Audience Profile,News,428,Comscore
Audience Profile,Paid Programming,428,Comscore
Audience Profile,Weekend daytime,428,Comscore
Audience Profile,Documentary,426,Comscore
Audience Profile,Weekday early morning,418,Comscore
Audience Profile,Talk,417,Comscore
Audience Profile,Religious,416,Comscore
Audience Profile,Weekend Early Morning,415,Comscore
Audience Profile,Educational,412,Comscore
Audience Profile,Soap Opera,412,Comscore
Audience Profile,Game Show,412,Comscore
Audience Profile,Action/Adventure,411,Comscore
Audience Profile,Cooking,405,Comscore
Audience Profile,Home Garden/Home Improvement,405,Comscore
Audience Profile,Music,405,Comscore
Audience Profile,Politics/Public Affairs,404,Comscore
Audience Profile,Travel,404,Comscore
Audience Profile,Home Shopping,402,Comscore
Audience Profile,Discovery Channel,394,Comscore
Audience Profile,Animal Planet,380,Comscore
Audience Profile,DIY: Do-It-Yourself,367,Comscore
Audience Profile,Afternoon Black Friday Furniture Shoppers,1249,Custom
Audience Profile,Morning Black Friday Furniture Shoppers,1242,Custom
Audience Profile,Evening Black Friday Furniture Shoppers,1238,Custom
Audience Profile,Black Friday Furniture Shoppers,1214,Custom
Audience Profile,Ashley Furniture Casual Diners,1167,Custom
Audience Profile,Ashley Furniture Big Box Shoppers,1136,Custom
Audience Profile,Ashley Furniture Clothing Shoppers,1009,Custom
Audience Profile,Users Exposed to Digital - Strong Museum,519,Custom
